"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
292;"Óscar Trejo";"Rayo Vallecano";6;63;0;0;0.11;0.15;0.16;0.22
293;"Unai López";"Rayo Vallecano";20;1212;0;3;0.6;1.44;0.04;0.11
294;"Álex Moreno";"Girona";21;1839;0;3;1.47;2.22;0.07;0.11
295;"David Costas";"Real Oviedo";17;1441;0;0;0.45;0.15;0.03;0.01
296;"Javi Muñoz";"Getafe";13;480;0;0;0.33;0.13;0.06;0.02
297;"Clement Lenglet";"Atletico Madrid";11;850;0;0;0.15;0.07;0.02;0.01
298;"Carles Aleñá";"Alaves";27;1711;0;4;2.05;3.65;0.11;0.19
299;"Diego Rico";"Getafe";23;1634;0;0;0.29;0.83;0.02;0.05
300;"Florian Lejeune";"Rayo Vallecano";27;2423;0;0;1.34;0.26;0.05;0.01
301;"Mikel Vesga";"Athletic Club";17;293;0;0;0.2;0.08;0.06;0.02
302;"Marc Roca";"Real Betis";21;1540;0;2;0.75;1.71;0.04;0.1
303;"Mariano";"Alaves";10;269;0;0;0.25;0.76;0.08;0.25
304;"Nacho Vidal";"Real Oviedo";18;1420;0;0;1.37;0.18;0.09;0.01
305;"Jon Guridi";"Alaves";17;633;0;0;0.96;0.03;0.14;0
306;"Unai Simón";"Athletic Club";27;2430;0;0;0;0.03;0;0
307;"Raba";"Valencia";12;240;0;1;0.2;0.32;0.07;0.12
308;"Josip Brekalo";"Real Oviedo";14;482;0;0;0.31;1.65;0.06;0.31
309;"Valentin Rosier";"Osasuna";20;1583;0;1;0.19;1.22;0.01;0.07
310;"Iván Balliu";"Rayo Vallecano";10;237;0;0;0.61;0.02;0.23;0.01
311;"Mihailo Ristic";"Celta Vigo";4;265;0;0;0.02;0.07;0.01;0.02
312;"Antonio Sivera";"Alaves";27;2430;0;0;0;0;0;0
313;"Portu";"Girona";10;463;0;0;1.67;0.19;0.33;0.04
314;"Unai Núñez";"Valencia";5;422;0;0;0.14;0;0.03;0
