,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
,,,,,,,,,,,,,?,,,,,,,,,,,
185,Noah Nartey,dk DEN,"MF,FW",Lyon,20-157,2005,6,4,449,5,2,0,2,2,0,0,0,0,0.4,0,0.4,0.4,0.4,Matches
186,Quentin Ndjantou Mbitcha,fr FRA,MF,Paris Saint-Germain,18-231,2007,10,3,360,4,1,1,2,1,0,0,1,0,0.25,0.25,0.5,0.25,0.5,Matches
187,Nathan Ngoy,be BEL,DF,Lille,22-274,2003,21,19,"1,685",18.7,1,1,2,1,0,0,5,1,0.05,0.05,0.11,0.05,0.11,Matches
188,Moussa Niakhate,sn SEN,DF,Lyon,30-003,1996,23,21,"1,949",21.7,0,2,2,0,0,0,3,0,0,0.09,0.09,0,0.09,Matches
189,Arnaud Nordin,fr FRA,"MF,FW",Rennes,27-267,1998,5,5,362,4,1,1,2,1,0,0,1,0,0.25,0.25,0.5,0.25,0.5,Matches
190,Ethan Nwaneri,eng ENG,MF,Marseille,18-355,2007,5,3,216,2.4,1,1,2,1,0,0,1,0,0.42,0.42,0.83,0.42,0.83,Matches
191,Ibrahim Osman,gh GHA,"MF,FW",Auxerre,21-102,2004,14,7,625,6.9,0,2,2,0,0,0,0,0,0,0.29,0.29,0,0.29,Matches
192,Abdoul Ouattara,fr FRA,"MF,DF",Strasbourg,20-140,2005,21,14,"1,310",14.6,2,0,2,2,0,0,2,0,0.14,0,0.14,0.14,0.14,Matches
193,Ibou Sané,sn SEN,"FW,MF",Metz,20-348,2005,16,5,541,6,1,1,2,1,0,0,2,0,0.17,0.17,0.33,0.17,0.33,Matches
194,Sadibou Sané,sn SEN,DF,Metz,21-274,2004,14,13,"1,130",12.6,2,0,2,2,0,0,3,2,0.16,0,0.16,0.16,0.16,Matches
195,Arouna Sangante,sn SEN,DF,Le Havre,23-333,2002,21,21,"1,711",19,1,1,2,1,0,0,3,1,0.05,0.05,0.11,0.05,0.11,Matches
196,Morgan Sanson,fr FRA,MF,Nice,31-205,1994,23,12,"1,169",13,0,2,2,0,0,0,3,0,0,0.15,0.15,0,0.15,Matches
197,Abdallah Sima,sn SEN,MF,Lens,24-267,2001,14,2,355,3.9,1,1,2,1,0,0,2,0,0.25,0.25,0.51,0.25,0.51,Matches
198,Cheikh Tidiane Sabaly,sn SEN,"MF,FW",Metz,27-007,1999,14,12,967,10.7,0,2,2,0,0,0,2,0,0,0.19,0.19,0,0.19,Matches
199,Abdoulaye Touré,gn GUI,MF,Le Havre,32-008,1994,11,8,740,8.2,2,0,2,2,0,1,2,0,0.24,0,0.24,0.24,0.24,Matches
200,Vanderson,br BRA,"DF,MF",Monaco,24-263,2001,14,7,616,6.8,0,2,2,0,0,0,4,0,0,0.29,0.29,0,0.29,Matches
201,Charles Vanhoutte,be BEL,MF,Nice,27-176,1998,20,18,"1,545",17.2,0,2,2,0,0,0,7,0,0,0.12,0.12,0,0.12,Matches
202,Julián Vignolo,ar ARG,MF,Toulouse,19-094,2006,12,1,194,2.2,2,0,2,2,0,0,0,0,0.93,0,0.93,0.93,0.93,Matches
203,Alexis Vossah,fr FRA,MF,Toulouse,18-000,2008,17,7,703,7.8,1,1,2,1,0,0,2,1,0.13,0.13,0.2,,,
