Playing Time,Performance,Per 90 Minutes,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,,,,,,,,,,,
?,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,,,,,,,,,,,,
49,Gerard Moreno,es ESP,FW,Villarreal,33-338,1992,13,10,747,8.3,7,0,7,5,2,2,0,0,0.84,0,0.84,0.6,0.6,Matches
50,Martim Neto,pt POR,MF,Elche,23-056,2003,21,12,"1,104",12.3,2,5,7,2,0,0,2,0,0.16,0.41,0.57,0.16,0.57,Matches
51,Nicolas Pépé,ci CIV,"MF,FW",Villarreal,30-286,1995,26,18,"1,688",18.8,3,4,7,3,0,0,3,0,0.16,0.21,0.37,0.16,0.37,Matches
52,Carlos Romero,es ESP,DF,Espanyol,24-133,2001,25,25,"2,217",24.6,5,2,7,5,0,0,2,0,0.2,0.08,0.28,0.2,0.28,Matches
53,André Silva,pt POR,FW,Elche,30-125,1995,21,14,"1,200",13.3,7,0,7,6,1,1,2,0,0.52,0,0.52,0.45,0.45,Matches
54,Viktor Tsyhankov,ua UKR,"MF,FW",Girona,28-116,1997,21,20,"1,656",18.4,5,2,7,5,0,0,1,0,0.27,0.11,0.38,0.27,0.38,Matches
55,Germán Valera,es ESP,"MF,DF",Elche,23-360,2002,26,24,"2,039",22.7,4,3,7,4,0,0,2,0,0.18,0.13,0.31,0.18,0.31,Matches
56,Ruben Vargas,ch SUI,MF,Sevilla,27-218,1998,13,11,871,9.7,3,4,7,2,1,1,1,0,0.31,0.41,0.72,0.21,0.62,Matches
57,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,24-074,2001,21,14,"1,189",13.2,3,3,6,3,0,0,2,0,0.23,0.23,0.45,0.23,0.45,Matches
58,Santi Comesaña,es ESP,MF,Villarreal,29-157,1996,25,20,"1,711",19,3,3,6,3,0,0,4,1,0.16,0.16,0.32,0.16,0.32,Matches
59,Pape Gueye,sn SEN,MF,Villarreal,27-046,1999,21,17,"1,435",15.9,4,2,6,3,1,1,7,0,0.25,0.13,0.38,0.19,0.31,Matches
60,Pere Milla,es ESP,"MF,FW",Espanyol,33-169,1992,25,21,"1,604",17.8,6,0,6,6,0,0,4,1,0.34,0,0.34,0.34,0.34,Matches
61,Víctor Muñoz,es ESP,"MF,FW",Osasuna,22-241,2003,27,25,"2,086",23.2,4,2,6,4,0,0,3,0,0.17,0.09,0.26,0.17,0.26,Matches
