"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
359;"Aljoscha Kemlein";"Union Berlin";23;1537;0;1;0.89;1;0.05;0.06
360;"Andreas Hanche-Olsen";"Mainz 05";13;843;0;1;0.24;0.71;0.03;0.08
361;"Aurélio Buta";"Eintracht Frankfurt";4;131;0;0;0.03;0.08;0.02;0.05
362;"Merlin Röhl";"Freiburg";2;52;0;0;0;0;0;0
363;"Josip Juranovic";"Union Berlin";5;172;0;0;0.08;0.84;0.04;0.44
364;"Damion Downs";"Hamburger SV";7;420;0;0;0.49;0.71;0.11;0.15
365;"Ameen Al Dakhil";"VfB Stuttgart";8;368;0;0;0.06;0.08;0.02;0.02
366;"Senne Lynen";"Werder Bremen";24;2136;0;0;0.68;1.03;0.03;0.04
367;"Cédric Zesiger";"Augsburg";18;988;0;0;0.63;0.33;0.06;0.03
368;"Václav Cerny";"Wolfsburg";2;40;0;0;0.07;0;0.16;0
369;"Omar Traoré";"FC Heidenheim";23;1381;0;2;0.49;1.46;0.03;0.09
370;"Benedikt Gimber";"FC Heidenheim";18;1310;0;0;0.5;0.21;0.03;0.01
371;"Victor Boniface";"Werder Bremen";11;309;0;2;0.91;1.05;0.26;0.31
372;"Nicolas Seiwald";"RasenBallsport Leipzig";25;2145;0;2;1.29;1.28;0.05;0.05
373;"Leart Paqarada";"FC Heidenheim";1;6;0;0;0;0;0;0
374;"Max Finkgrafe";"RasenBallsport Leipzig";6;123;0;0;0.09;0.03;0.07;0.02
375;"Mathias Honsak";"FC Heidenheim";21;1011;0;0;1.66;1.29;0.15;0.11
376;"Leonidas Stergiou";"FC Heidenheim,VfB Stuttgart";4;144;0;0;0.05;0;0.03;0
377;"Lukas Ullrich";"Borussia M.Gladbach";17;1087;0;0;0.42;0.86;0.04;0.07
378;"Skelly Alvero";"Werder Bremen";2;23;0;0;0;0;0;0
379;"Thomas Keller";"FC Heidenheim";4;193;0;0;0.05;0;0.03;0
380;"Daniel Batz";"Mainz 05";13;1170;0;0;0;0;0;0
381;"Jordy Makengo";"Freiburg";14;853;0;0;0;0.21;0;0.02
382;"Kauã Santos";"Eintracht Frankfurt";13;1084;0;0;0;0;0;0
383;"Elias Baum";"Eintracht Frankfurt";2;23;0;0;0;0;0;0
384;"Yannick Eduardo";"Hoffenheim";1;1;0;0;0;0;0;0
385;"Julián Malatini";"Werder Bremen";10;451;0;0;0.03;0.16;0.01;0.03
386;"Isak Hansen-Aaröen";"Werder Bremen";1;1;0;0;0;0;0;0
387;"Frank Feller";"FC Heidenheim";1;90;0;0;0;0;0;0
388;"Max Rosenfelder";"Freiburg";12;476;0;0;0.02;0;0;0
389;"Yukinari Sugawara";"Werder Bremen";23;1940;0;4;1.57;1.34;0.07;0.06
390;"Kosta Nedeljkovic";"RasenBallsport Leipzig";5;251;0;0;0;0;0;0
391;"Nikolas Veratschnig";"Mainz 05";15;399;0;1;0.12;0.74;0.03;0.17
392;"Mio Backhaus";"Werder Bremen";23;2070;0;0;0;0;0;0
393;"Bruno Ogbus";"Freiburg";9;667;0;0;0.36;0;0.05;0
394;"Ramon Hendriks";"VfB Stuttgart";22;1324;0;2;0.06;0.5;0;0.03
