"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
186;"Sean Longstaff";"Leeds";17;944;1;2;0.7;2.48;0.07;0.24
187;"Marc Cucurella";"Chelsea";25;1904;1;3;1.33;3.49;0.06;0.16
188;"Diogo Dalot";"Manchester United";27;2056;1;3;1.56;2.89;0.07;0.13
189;"Gabriel Martinelli";"Arsenal";24;777;1;2;4.02;1.56;0.47;0.18
190;"James Justin";"Leeds";20;1085;1;1;1.15;1.59;0.1;0.13
191;"Jean-Ricner Bellegarde";"Wolverhampton Wanderers";21;1030;1;0;0.86;0.74;0.07;0.06
192;"Taiwo Awoniyi";"Nottingham Forest";10;192;1;0;1.68;0.74;0.79;0.35
193;"Matthijs de Ligt";"Manchester United";13;1170;1;0;1.32;0.43;0.1;0.03
194;"Marshall Munetsi";"Wolverhampton Wanderers";13;863;1;1;1.84;0.38;0.19;0.04
195;"Evann Guessand";"Aston Villa,Crystal Palace";18;804;1;2;1.78;1.24;0.2;0.14
196;"Riccardo Calafiori";"Arsenal";21;1414;1;2;2.55;0.39;0.16;0.02
197;"Neco Williams";"Nottingham Forest";28;2442;1;1;1.3;3.16;0.05;0.12
198;"Tyrick Mitchell";"Crystal Palace";29;2587;1;1;1.34;2.06;0.05;0.07
199;"Nicolás Domínguez";"Nottingham Forest";18;915;1;0;0.71;0.75;0.07;0.07
200;"Armando Broja";"Burnley";19;795;1;1;2.52;0.52;0.28;0.06
201;"Omar Marmoush";"Manchester City";16;511;1;2;2.76;1.43;0.49;0.25
202;"Chris Richards";"Crystal Palace";25;2244;1;0;0.91;0.36;0.04;0.01
203;"Jarrad Branthwaite";"Everton";7;493;1;0;0.29;0.09;0.05;0.02
204;"Sven Botman";"Newcastle United";16;1066;1;0;1.09;0.6;0.09;0.05
205;"Dan Ndoye";"Nottingham Forest";21;1135;1;1;1.17;1.55;0.09;0.12
206;"Xavi Simons";"Tottenham";23;1557;1;4;1.65;4.22;0.1;0.24
207;"Joël Veltman";"Brighton";17;814;1;0;0.95;0.25;0.11;0.03
208;"Maxence Lacroix";"Crystal Palace";27;2399;1;2;2.52;1.21;0.09;0.05
209;"Liam Delap";"Chelsea";20;715;1;0;4.16;0.1;0.52;0.01
210;"Jéremy Doku";"Manchester City";21;1199;1;4;2.7;5.33;0.2;0.4
211;"Omar Alderete";"Sunderland";25;2181;1;1;1.26;0.57;0.05;0.02
212;"Jayden Bogle";"Leeds";27;2297;1;1;1.82;1.98;0.07;0.08
213;"Fabio Carvalho";"Brentford";6;97;1;0;0.69;0;0.64;0
214;"Hannibal Mejbri";"Burnley";21;889;1;3;0.41;1.9;0.04;0.19
215;"Vitaly Janelt";"Brentford";22;1237;1;4;0.75;3.59;0.05;0.26
216;"Nathan Collins";"Brentford";26;2156;1;2;2.34;1.81;0.1;0.08
217;"Nico González";"Manchester City";21;1385;1;0;0.5;0.75;0.03;0.05
218;"Piero Hincapié";"Arsenal";20;1489;1;1;0.4;1.3;0.02;0.08
219;"Loum Tchaouna";"Burnley";22;840;1;0;0.9;0.46;0.1;0.05
220;"Hugo Bueno";"Wolverhampton Wanderers";27;1855;1;1;0.64;2.57;0.03;0.12
221;"Lewis Hall";"Newcastle United";22;1558;1;1;0.96;1.75;0.06;0.1
222;"Omari Hutchinson";"Nottingham Forest";22;1134;1;3;1.97;3.48;0.16;0.28
223;"Alejandro Garnacho";"Chelsea";18;1012;1;4;3.64;3.88;0.32;0.35
224;"Rodrigo Muniz";"Fulham";12;466;1;1;2.07;0.55;0.4;0.11
225;"Ryan Christie";"Bournemouth";19;536;1;0;1.45;1;0.24;0.17
226;"Soungoutou Magassa";"West Ham";18;944;1;0;0.62;0.75;0.06;0.07
227;"Matheus Nunes";"Manchester City";26;2177;1;4;0.59;2.34;0.02;0.1
228;"Jack Hinshelwood";"Brighton";18;1007;1;2;1.35;0.8;0.12;0.07
229;"Brajan Gruda";"Brighton";18;716;1;1;1.77;1.22;0.22;0.15
230;"Noni Madueke";"Arsenal";19;859;1;1;1.66;2.53;0.17;0.27
